ticket_id,customer_id,order_id,created_at,resolved_at,issue_type,priority,status,channel,customer_satisfaction_score,description
TKT00000093,CUST000222,ORD00012903,2026-01-26 04:34:42,2026-02-04 18:34:42,Account Access,Medium,Closed,Email,4.0,Customer reported an issue related to account access.
TKT00000094,CUST003883,ORD00010183,2023-06-22 07:19:08,2023-06-29 03:19:08,Damaged Product,Low,Resolved,Social Media,1.0,Customer reported an issue related to payment issue.
TKT00000095,CUST003411,,2024-08-01 22:09:15,,Technical Issue,Medium,Open,Social Media,,Customer reported an issue related to order cancellation.
TKT00000096,CUST003527,ORD00015925,2023-07-27 20:21:23,,Technical Issue,Medium,In Progress,Phone,,Customer reported an issue related to payment issue.
TKT00000097,CUST004833,ORD00026851,2025-11-05 11:26:27,,Technical Issue,Critical,Open,Email,,Customer reported an issue related to missing item.
TKT00000098,CUST003468,ORD00025698,2024-11-25 09:26:53,2024-12-02 15:26:53,Technical Issue,High,Resolved,Chat,1.0,Customer reported an issue related to order cancellation.
TKT00000099,CUST001758,ORD00021442,2024-04-30 07:46:16,,Product Information,Critical,Open,Chat,,Customer reported an issue related to account access.
TKT00000100,CUST004585,ORD00012941,2026-03-14 14:19:17,2026-03-20 04:19:17,Refund Request,Low,Closed,Web Form,3.0,Customer reported an issue related to technical issue.
TKT00000101,CUST003172,ORD00013321,2025-05-01 05:28:28,,Missing Item,Low,In Progress,Web Form,,Customer reported an issue related to payment issue.
TKT00000102,CUST001828,ORD00016261,2024-07-11 17:47:55,2024-07-19 16:47:55,Damaged Product,Medium,Closed,Social Media,5.0,Customer reported an issue related to delivery delay.
TKT00000103,CUST004999,ORD00002105,2026-06-16 12:42:09,,Order Cancellation,Low,Open,Email,,Customer reported an issue related to refund request.
TKT00000104,CUST002883,ORD00004355,2026-02-16 16:09:28,,Wrong Product,Low,In Progress,Phone,,Customer reported an issue related to damaged product.
TKT00000105,CUST004854,ORD00020407,2025-04-08 16:43:16,,Missing Item,High,Open,Social Media,,Customer reported an issue related to payment issue.
TKT00000106,CUST003691,ORD00004034,2024-03-03 00:27:47,,Missing Item,Low,Open,Email,,Customer reported an issue related to missing item.
TKT00000107,CUST003915,ORD00018893,2025-12-29 11:38:44,,Product Information,High,Open,Chat,,Customer reported an issue related to refund request.
TKT00000108,CUST002025,ORD00009311,2025-01-15 01:40:35,,Wrong Product,Low,Open,Email,,Customer reported an issue related to wrong product.
TKT00000109,CUST004445,ORD00010770,2025-09-28 06:40:04,,Order Cancellation,High,Open,Social Media,,Customer reported an issue related to product information.
TKT00000110,CUST001142,,2024-03-25 09:21:24,,Payment Issue,Medium,In Progress,Social Media,,Customer reported an issue related to missing item.
TKT00000111,CUST000857,,2025-12-06 11:46:16,,Refund Request,Medium,Open,Email,,Customer reported an issue related to technical issue.
TKT00000112,CUST001699,ORD00022480,2023-06-30 22:07:42,2023-07-07 14:07:42,Account Access,Critical,Closed,Phone,4.0,Customer reported an issue related to account access.
TKT00000113,CUST002836,ORD00008894,2026-03-01 10:25:23,2026-03-05 05:25:23,Wrong Product,Critical,Resolved,Social Media,4.0,Customer reported an issue related to product information.
TKT00000114,CUST004137,ORD00000475,2025-10-29 21:11:27,,Missing Item,Critical,In Progress,Social Media,,Customer reported an issue related to account access.
TKT00000115,CUST000790,ORD00014905,2023-01-31 04:07:01,2023-02-03 17:07:01,Account Access,Critical,Closed,Phone,3.0,Customer reported an issue related to account access.
TKT00000116,CUST002283,ORD00021387,2025-02-21 00:41:53,,Wrong Product,Low,In Progress,Email,,Customer reported an issue related to technical issue.
TKT00000117,CUST002757,ORD00005068,2024-10-17 01:04:09,,Technical Issue,Critical,Open,Phone,,Customer reported an issue related to delivery delay.
TKT00000118,CUST000348,ORD00004728,2025-09-07 14:47:08,2025-09-13 22:47:08,Payment Issue,Critical,Resolved,Phone,3.0,Customer reported an issue related to wrong product.
TKT00000119,CUST004904,ORD00007027,2023-03-04 12:09:55,2023-03-08 17:09:55,Refund Request,Medium,Closed,Social Media,3.0,Customer reported an issue related to technical issue.
TKT00000120,CUST000344,,2024-11-04 14:25:14,2024-11-05 15:25:14,Product Information,Critical,Resolved,Chat,4.0,Customer reported an issue related to payment issue.
TKT00000121,CUST000628,ORD00002104,2025-06-16 11:31:22,,Refund Request,High,In Progress,Web Form,,Customer reported an issue related to missing item.
TKT00000122,CUST004779,,2024-06-23 20:22:14,2024-06-28 10:22:14,Account Access,Critical,Closed,Chat,1.0,Customer reported an issue related to product information.
TKT00000123,CUST004317,,2024-02-08 15:59:24,2024-02-12 19:59:24,Damaged Product,Medium,Resolved,Web Form,3.0,Customer reported an issue related to missing item.
TKT00000124,CUST001935,ORD00013137,2025-01-14 06:41:52,,Wrong Product,High,Open,Email,,Customer reported an issue related to account access.
TKT00000125,CUST001564,ORD00024907,2023-04-19 14:18:04,,Delivery Delay,Low,Open,Phone,,Customer reported an issue related to payment issue.
TKT00000126,CUST000328,ORD00028937,2025-11-16 19:29:08,2025-11-21 17:29:08,Payment Issue,Low,Resolved,Chat,5.0,Customer reported an issue related to account access.
TKT00000127,CUST004792,ORD00016942,2024-02-16 04:16:02,,Damaged Product,High,Open,Web Form,,Customer reported an issue related to refund request.
TKT00000128,CUST002945,ORD00001324,2023-03-15 05:32:32,2023-03-23 21:32:32,Missing Item,High,Resolved,Chat,4.0,Customer reported an issue related to damaged product.
TKT00000129,CUST000722,ORD00014704,2023-01-16 14:43:11,2023-01-24 06:43:11,Wrong Product,Critical,Closed,Phone,2.0,Customer reported an issue related to order cancellation.
TKT00000130,CUST002098,ORD00008175,2026-01-22 12:32:52,,Account Access,Medium,Open,Web Form,,Customer reported an issue related to payment issue.
TKT00000131,CUST002471,ORD00002611,2024-04-16 23:11:57,2024-04-17 16:11:57,Product Information,Medium,Resolved,Phone,5.0,Customer reported an issue related to product information.
TKT00000132,CUST001721,ORD00004598,2024-03-18 08:36:32,2024-03-25 18:36:32,Account Access,Low,Closed,Web Form,3.0,Customer reported an issue related to order cancellation.
TKT00000133,CUST001040,ORD00026393,2024-08-15 11:19:20,,Missing Item,Critical,In Progress,Social Media,,Customer reported an issue related to missing item.
TKT00000134,CUST002761,ORD00003394,2026-04-28 09:59:10,,Account Access,High,In Progress,Social Media,,Customer reported an issue related to technical issue.
TKT00000135,CUST002767,ORD00025627,2026-02-27 02:42:51,,Wrong Product,Critical,In Progress,Phone,,Customer reported an issue related to payment issue.
TKT00000136,CUST004979,ORD00013221,2024-08-23 10:11:22,,Wrong Product,Low,In Progress,Social Media,,Customer reported an issue related to wrong product.
TKT00000137,CUST004662,ORD00009508,2023-05-11 09:18:14,2023-05-20 17:18:14,Missing Item,Low,Resolved,Social Media,4.0,Customer reported an issue related to damaged product.
TKT00000138,CUST001533,ORD00001736,2024-11-07 03:01:05,2024-11-13 19:01:05,Refund Request,Medium,Resolved,Web Form,4.0,Customer reported an issue related to technical issue.
TKT00000139,CUST004419,ORD00014825,2026-02-11 01:47:17,2026-02-21 01:47:17,Delivery Delay,Medium,Resolved,Email,2.0,Customer reported an issue related to technical issue.
TKT00000140,CUST004203,,2023-05-30 18:59:58,2023-06-05 11:59:58,Product Information,High,Closed,Email,4.0,Customer reported an issue related to wrong product.
TKT00000141,CUST003008,ORD00026692,2025-12-04 04:15:14,2025-12-06 11:15:14,Technical Issue,Critical,Closed,Email,5.0,Customer reported an issue related to delivery delay.
TKT00000142,CUST004428,ORD00015851,2026-05-25 19:42:31,2026-05-25 23:42:31,Delivery Delay,High,Closed,Chat,2.0,Customer reported an issue related to technical issue.
TKT00000143,CUST002617,ORD00024651,2024-07-24 23:17:53,,Account Access,Medium,Open,Email,,Customer reported an issue related to product information.
TKT00000144,CUST004431,ORD00028080,2026-04-14 21:22:59,,Wrong Product,Medium,In Progress,Phone,,Customer reported an issue related to refund request.
TKT00000145,CUST002398,ORD00026443,2025-11-22 16:08:39,,Wrong Product,Medium,In Progress,Social Media,,Customer reported an issue related to wrong product.
TKT00000146,CUST001668,ORD00010020,2024-05-29 08:40:48,2024-05-31 07:40:48,Technical Issue,High,Closed,Email,5.0,Customer reported an issue related to payment issue.
TKT00000147,CUST004854,ORD00011297,2023-04-16 07:02:44,2023-04-22 18:02:44,Refund Request,Low,Closed,Email,4.0,Customer reported an issue related to account access.
TKT00000148,CUST003580,ORD00022759,2024-06-29 17:39:14,,Product Information,Low,Open,Social Media,,Customer reported an issue related to refund request.
TKT00000149,CUST002213,,2023-07-19 20:43:38,,Account Access,Critical,In Progress,Web Form,,Customer reported an issue related to refund request.
TKT00000150,CUST001115,,2024-12-09 20:37:15,2024-12-19 10:37:15,Payment Issue,Medium,Resolved,Phone,2.0,Customer reported an issue related to missing item.
TKT00000151,CUST004513,ORD00017508,2025-10-17 07:09:55,2025-10-18 07:09:55,Technical Issue,Critical,Resolved,Web Form,2.0,Customer reported an issue related to order cancellation.
TKT00000152,CUST003192,ORD00028426,2024-07-31 12:05:24,2024-08-05 12:05:24,Damaged Product,High,Closed,Web Form,1.0,Customer reported an issue related to missing item.
TKT00000153,CUST004691,ORD00021719,2025-12-26 11:17:14,2026-01-03 14:17:14,Product Information,Low,Closed,Email,4.0,Customer reported an issue related to payment issue.
TKT00000154,CUST001150,ORD00019408,2023-05-11 08:37:26,2023-05-14 20:37:26,Delivery Delay,Critical,Resolved,Email,2.0,Customer reported an issue related to missing item.
TKT00000155,CUST004998,ORD00011811,2023-01-31 14:09:37,,Damaged Product,Medium,In Progress,Chat,,Customer reported an issue related to payment issue.
TKT00000156,CUST002136,,2024-07-13 19:38:54,,Refund Request,Medium,In Progress,Social Media,,Customer reported an issue related to refund request.
TKT00000157,CUST000677,ORD00004814,2025-11-15 10:03:43,2025-11-21 13:03:43,Account Access,Medium,Closed,Chat,5.0,Customer reported an issue related to order cancellation.
TKT00000158,CUST000999,ORD00028004,2026-03-13 18:44:44,2026-03-22 17:44:44,Technical Issue,High,Closed,Email,5.0,Customer reported an issue related to refund request.
TKT00000159,CUST002021,ORD00000790,2025-01-21 10:07:49,2025-01-28 09:07:49,Payment Issue,High,Resolved,Social Media,4.0,Customer reported an issue related to missing item.
TKT00000160,CUST001644,ORD00029379,2026-06-04 20:31:19,,Damaged Product,High,Open,Phone,,Customer reported an issue related to order cancellation.
TKT00000161,CUST004316,ORD00029266,2023-07-27 16:26:57,,Delivery Delay,Critical,In Progress,Phone,,Customer reported an issue related to account access.
TKT00000162,CUST004244,ORD00011027,2025-11-29 17:38:29,2025-12-02 21:38:29,Wrong Product,Critical,Resolved,Web Form,5.0,Customer reported an issue related to delivery delay.
TKT00000163,CUST004861,ORD00016640,2024-10-09 19:44:45,,Refund Request,High,In Progress,Web Form,,Customer reported an issue related to delivery delay.
TKT00000164,CUST002239,ORD00018011,2023-09-14 21:30:35,,Order Cancellation,Medium,In Progress,Web Form,,Customer reported an issue related to damaged product.
TKT00000165,CUST002732,ORD00009450,2025-10-20 08:37:29,,Damaged Product,High,In Progress,Email,,Customer reported an issue related to product information.
TKT00000166,CUST004641,ORD00001748,2025-08-27 10:23:07,2025-09-05 09:23:07,Product Information,Critical,Closed,Email,4.0,Customer reported an issue related to order cancellation.
TKT00000167,CUST000785,,2024-01-10 16:52:01,,Technical Issue,Critical,In Progress,Social Media,,Customer reported an issue related to order cancellation.
TKT00000168,CUST003697,ORD00010162,2025-05-12 22:37:18,2025-05-22 19:37:18,Wrong Product,Critical,Closed,Phone,5.0,Customer reported an issue related to account access.
TKT00000169,CUST003703,ORD00002007,2023-07-28 09:48:52,2023-08-02 21:48:52,Payment Issue,High,Closed,Social Media,5.0,Customer reported an issue related to wrong product.
TKT00000170,CUST003561,ORD00008555,2025-10-24 21:22:37,2025-10-27 21:22:37,Refund Request,Critical,Closed,Phone,2.0,Customer reported an issue related to product information.
TKT00000171,CUST003982,,2024-02-29 07:42:54,,Order Cancellation,Critical,In Progress,Email,,Customer reported an issue related to delivery delay.
TKT00000172,CUST001120,ORD00014482,2023-08-14 21:50:22,2023-08-22 00:50:22,Damaged Product,High,Closed,Chat,3.0,Customer reported an issue related to technical issue.
TKT00000173,CUST004626,ORD00016865,2023-11-09 07:09:18,2023-11-10 16:09:18,Technical Issue,Medium,Resolved,Web Form,5.0,Customer reported an issue related to damaged product.
TKT00000174,CUST002993,ORD00005292,2025-01-26 17:32:11,2025-01-28 21:32:11,Refund Request,Medium,Closed,Web Form,3.0,Customer reported an issue related to refund request.
TKT00000175,CUST001319,ORD00023665,2026-05-02 17:04:29,2026-05-05 05:04:29,Technical Issue,Low,Closed,Social Media,2.0,Customer reported an issue related to damaged product.
TKT00000176,CUST003495,ORD00013146,2023-11-18 08:10:56,2023-11-20 15:10:56,Damaged Product,Critical,Resolved,Phone,1.0,Customer reported an issue related to order cancellation.
TKT00000177,CUST000787,ORD00017002,2026-03-10 01:11:08,2026-03-19 18:11:08,Refund Request,Low,Resolved,Social Media,4.0,Customer reported an issue related to damaged product.
TKT00000178,CUST001701,ORD00007887,2026-01-28 00:25:50,,Wrong Product,High,In Progress,Email,,Customer reported an issue related to payment issue.
TKT00000179,CUST004883,ORD00010330,2026-05-16 09:52:46,,Refund Request,Critical,Open,Social Media,,Customer reported an issue related to technical issue.
TKT00000180,CUST003805,ORD00004246,2026-06-17 21:10:48,2026-06-18 05:10:48,Technical Issue,High,Resolved,Web Form,4.0,Customer reported an issue related to refund request.
TKT00000181,CUST001193,ORD00003434,2024-08-14 15:24:36,2024-08-16 14:24:36,Payment Issue,High,Closed,Chat,2.0,Customer reported an issue related to payment issue.
TKT00000182,CUST000215,ORD00005676,2024-02-22 02:50:09,2024-02-25 17:50:09,Damaged Product,High,Resolved,Chat,1.0,Customer reported an issue related to refund request.
